t,x1,v1,x2,v2,pump,refc,refs,drive1,drive2,u1,u2,k12_eff,k21_eff,i1,q1,amp1,phase1,bit1,i2,q2,amp2,phase2,bit2
2.8e-05,0.005877726849,176.897311,0.0005549902426,16.707439,0.3090169944,-0.8090169944,0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-4.216820769e-06,2.935025031e-06,5.137698836e-06,2.533537486,0,-3.98163261e-07,2.771297259e-07,4.851132521e-07,2.533542603,0
2.9e-05,0.005678554661,-598.0421711,0.000536189039,-56.46288854,0.8090169944,-0.9510565163,0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-4.756461728e-06,3.110208517e-06,5.683073569e-06,2.562486822,0,-4.491180526e-07,2.936711655e-07,5.366095215e-07,2.562491784,0
3e-05,0.004671883624,-1398.539078,0.0004411425189,-132.047841,1,-1,2.143750879e-15,-0.2,0,-0.2,0,0,0,-5.223174444e-06,3.109897497e-06,6.078899055e-06,2.604559625,0,-4.931873927e-07,2.936417984e-07,5.739854615e-07,2.604565328,0
3.1e-05,0.002954910253,-1984.436046,0.0002790265913,-187.3713586,0.8090169944,-0.9510565163,-0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-5.503680792e-06,3.018274758e-06,6.276980546e-06,2.639970827,0,-5.196750797e-07,2.849900383e-07,5.926900627e-07,2.639978347,0
3.2e-05,0.000819856228,-2229.728723,7.74323368e-05,-210.5348558,0.3090169944,-0.8090169944,-0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-5.569458186e-06,2.969782991e-06,6.31177277e-06,2.651718464,0,-5.258875199e-07,2.804101808e-07,5.959761346e-07,2.651728841,0
3.3e-05,-0.001408791767,-2193.026915,-0.0001330015147,-207.0713544,-0.3090169944,-0.5877852523,-0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-5.486094538e-06,3.083459661e-06,6.293246917e-06,2.629545068,0,-5.180172982e-07,2.911421883e-07,5.942269727e-07,2.629558939,0
3.4e-05,-0.003523193352,-2025.077879,-0.0003326496093,-191.2146209,-0.8090169944,-0.3090169944,-0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-5.376673266e-06,3.418226914e-06,6.37125503e-06,2.57529941,0,-5.076860582e-07,3.227499319e-07,6.015917655e-07,2.575316425,0
3.5e-05,-0.005448558804,-1819.851639,-0.0005144498939,-171.8382943,-1,-2.204983219e-15,-1,-4.409966438e-16,0,-4.409966438e-16,0,0,0,-5.376135599e-06,3.962740972e-06,6.678783571e-06,2.506399827,0,-5.076352896e-07,3.741626463e-07,6.306276819e-07,2.506418356,0
3.6e-05,-0.007137680207,-1534.189938,-0.0006739456466,-144.8683664,-0.8090169944,0.3090169944,-0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-5.596164434e-06,4.641178425e-06,7.270322795e-06,2.449209865,0,-5.284105919e-07,4.3822127e-07,6.864806152e-07,2.449227808,0
3.7e-05,-0.008439722681,-1018.082536,-0.0007968963768,-96.14112341,-0.3090169944,0.5877852523,-0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-6.09167927e-06,5.323502215e-06,8.090008168e-06,2.42338752,0,-5.751981446e-07,5.02647719e-07,7.638767145e-07,2.423403686,0
3.8e-05,-0.009050723953,-142.1498763,-0.0008546028437,-13.43925622,0.3090169944,0.8090169944,-0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-6.823289051e-06,5.854958071e-06,8.99098479e-06,2.432423847,0,-6.442794472e-07,5.52829749e-07,8.48950374e-07,2.432438517,0
3.9e-05,-0.008617066008,1041.516671,-0.0008136750999,98.32176539,0.8090169944,0.9510565163,-0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-7.6421384e-06,6.120654559e-06,9.791051606e-06,2.466297917,0,-7.216001199e-07,5.779184094e-07,9.244979291e-07,2.466312566,0
4e-05,-0.006959321624,2245.167199,-0.0006571671908,211.9752729,1,1,-2.266215559e-15,0.2,0,0.2,0,0,0,-8.337306348e-06,6.120042494e-06,1.034241738e-05,2.508374604,0,-7.87244679e-07,5.778606176e-07,9.765639139e-07,2.508391425,0
4.1e-05,-0.004244479466,3104.810787,-0.0004008406622,293.1523811,0.8090169944,0.9510565163,0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-8.740146603e-06,5.988268861e-06,1.059478771e-05,2.54090613,0,-8.252881669e-07,5.654161739e-07,1.000397925e-06,2.540927564,0
4.2e-05,-0.0009297564435,3439.517838,-8.7863211e-05,324.7654351,0.3090169944,0.8090169944,0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-8.814491465e-06,5.933020321e-06,1.062525246e-05,2.549150502,0,-8.323139211e-07,5.601951623e-07,1.003277172e-06,2.549178638,0
4.3e-05,0.002490743497,3350.49801,0.0002351103511,316.3672023,-0.3090169944,0.5877852523,0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-8.667207786e-06,6.133932401e-06,1.061817393e-05,2.525706087,0,-8.1841125e-07,5.791599697e-07,1.002608221e-06,2.525741734,0
4.4e-05,0.005709473315,3072.398123,0.0005390383194,290.1134511,-0.8090169944,0.3090169944,0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-8.489908637e-06,6.676322188e-06,1.080054751e-05,2.475209915,0,-8.016722088e-07,6.303676444e-07,1.019824346e-06,2.475251518,0
4.5e-05,0.008622404215,2745.41045,0.0008140972552,259.2445014,-1,2.327447899e-15,1,4.654895798e-16,0,4.654895798e-16,0,0,0,-8.489059646e-06,7.537894977e-06,1.135270868e-05,2.41547277,0,-8.015920416e-07,7.117143331e-07,1.0719548e-06,2.41551642,0
4.6e-05,0.01116227608,2297.147076,0.001053939193,216.9292112,-0.8090169944,-0.3090169944,0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-8.833144041e-06,8.598736728e-06,1.232731548e-05,2.369640726,0,-8.340803945e-07,8.118787354e-07,1.163974736e-06,2.369682257,0
4.7e-05,0.01309773415,1494.072923,0.001236725101,141.1184363,-0.3090169944,-0.5877852523,0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-9.602126223e-06,9.657505805e-06,1.361867271e-05,2.353319075,0,-9.06689864e-07,9.1185071e-07,1.28590755e-06,2.353356593,0
4.8e-05,0.01396165919,139.5363994,0.001318353625,13.23972189,0.3090169944,-0.8090169944,0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-1.073068797e-05,1.047718579e-05,1.499730264e-05,2.368147131,0,-1.013256244e-06,9.892504067e-07,1.416087774e-06,2.36818181,0
